IP:PORT, LOSS, DELAY
162.159.192.12:854,0.00%,timeout ms
162.159.192.42:854,0.00%,timeout ms
162.159.192.8:1701,0.00%,timeout ms
162.159.192.46:854,0.00%,timeout ms
162.159.192.29:854,0.00%,timeout ms
162.159.192.9:1701,0.00%,timeout ms
162.159.192.43:854,0.00%,timeout ms
162.159.192.11:1701,0.00%,timeout ms
162.159.192.24:854,0.00%,timeout ms
162.159.192.32:854,0.00%,timeout ms
162.159.192.21:1701,0.00%,timeout ms
162.159.192.43:1701,0.00%,timeout ms
162.159.192.0:1701,0.00%,timeout ms
162.159.192.21:854,0.00%,timeout ms
162.159.192.28:854,0.00%,timeout ms
162.159.192.22:1701,0.00%,timeout ms
162.159.192.17:854,0.00%,timeout ms
162.159.192.47:1701,0.00%,timeout ms
162.159.192.23:854,0.00%,timeout ms
162.159.192.17:1701,0.00%,timeout ms
162.159.192.25:854,0.00%,timeout ms
162.159.192.34:1701,0.00%,timeout ms
162.159.192.10:854,0.00%,timeout ms
162.159.192.13:854,0.00%,timeout ms
162.159.192.16:1701,0.00%,timeout ms
162.159.192.31:854,0.00%,timeout ms
162.159.192.24:1701,0.00%,timeout ms
162.159.192.26:1701,0.00%,timeout ms
162.159.192.1:1701,0.00%,timeout ms
162.159.192.7:1701,0.00%,timeout ms
162.159.192.38:1701,0.00%,timeout ms
162.159.192.2:854,0.00%,timeout ms
162.159.192.45:1701,0.00%,timeout ms
162.159.192.33:1701,0.00%,timeout ms
162.159.192.6:1701,0.00%,timeout ms
162.159.192.38:854,0.00%,timeout ms
162.159.192.33:854,0.00%,timeout ms
162.159.192.30:854,0.00%,timeout ms
162.159.192.10:1701,0.00%,timeout ms
162.159.192.25:1701,0.00%,timeout ms
162.159.192.4:854,0.00%,timeout ms
162.159.192.6:854,0.00%,timeout ms
162.159.192.40:1701,0.00%,timeout ms
162.159.192.19:1701,0.00%,timeout ms
162.159.192.3:1701,0.00%,timeout ms
162.159.192.14:854,0.00%,timeout ms
162.159.192.0:854,0.00%,timeout ms
162.159.192.7:854,0.00%,timeout ms
162.159.192.13:1701,0.00%,timeout ms
162.159.192.15:854,0.00%,timeout ms
162.159.192.3:854,0.00%,timeout ms
162.159.192.37:854,0.00%,timeout ms
162.159.192.48:1701,0.00%,timeout ms
162.159.192.41:854,0.00%,timeout ms
162.159.192.42:1701,0.00%,timeout ms
162.159.192.49:854,0.00%,timeout ms
162.159.192.15:1701,0.00%,timeout ms
162.159.192.35:1701,0.00%,timeout ms
162.159.192.44:1701,0.00%,timeout ms
162.159.192.4:1701,0.00%,timeout ms
162.159.192.48:854,0.00%,timeout ms
162.159.192.5:854,0.00%,timeout ms
162.159.192.39:854,0.00%,timeout ms
162.159.192.14:1701,0.00%,timeout ms
162.159.192.28:1701,0.00%,timeout ms
162.159.192.1:854,0.00%,timeout ms
162.159.192.31:1701,0.00%,timeout ms
162.159.192.32:1701,0.00%,timeout ms
162.159.192.19:854,0.00%,timeout ms
162.159.192.30:1701,0.00%,timeout ms
162.159.192.26:854,0.00%,timeout ms
162.159.192.47:854,0.00%,timeout ms
162.159.192.35:854,0.00%,timeout ms
162.159.192.29:1701,0.00%,timeout ms
162.159.192.45:854,0.00%,timeout ms
162.159.192.12:1701,0.00%,timeout ms
162.159.192.27:854,0.00%,timeout ms
162.159.192.16:854,0.00%,timeout ms
162.159.192.22:854,0.00%,timeout ms
162.159.192.46:1701,0.00%,timeout ms
162.159.192.20:1701,0.00%,timeout ms
162.159.192.44:854,0.00%,timeout ms
162.159.192.8:854,0.00%,timeout ms
162.159.192.40:854,0.00%,timeout ms
162.159.192.41:1701,0.00%,timeout ms
162.159.192.11:854,0.00%,timeout ms
162.159.192.2:1701,0.00%,timeout ms
162.159.192.5:1701,0.00%,timeout ms
162.159.192.20:854,0.00%,timeout ms
162.159.192.23:1701,0.00%,timeout ms
162.159.192.27:1701,0.00%,timeout ms
162.159.192.37:1701,0.00%,timeout ms
162.159.192.18:1701,0.00%,timeout ms
162.159.192.9:854,0.00%,timeout ms
162.159.192.36:1701,0.00%,timeout ms
162.159.192.49:1701,0.00%,timeout ms
162.159.192.39:1701,0.00%,timeout ms
162.159.192.18:854,0.00%,timeout ms
162.159.192.36:854,0.00%,timeout ms
162.159.192.34:854,0.00%,timeout ms
188.114.97.56:943,0.00%,234 ms
188.114.97.47:8319,0.00%,235 ms
188.114.99.237:942,0.00%,238 ms
188.114.97.49:943,0.00%,241 ms
188.114.96.53:4198,0.00%,241 ms
188.114.99.243:878,0.00%,242 ms
188.114.97.53:943,0.00%,242 ms
188.114.99.104:8742,0.00%,242 ms
188.114.96.186:894,0.00%,243 ms
162.159.195.55:859,0.00%,244 ms
188.114.97.198:903,0.00%,244 ms
162.159.195.169:7156,0.00%,244 ms
188.114.97.47:1002,0.00%,245 ms
188.114.96.14:1018,0.00%,245 ms
162.159.195.188:3138,0.00%,246 ms
188.114.98.207:859,0.00%,246 ms
188.114.99.229:854,0.00%,247 ms
188.114.99.99:7103,0.00%,247 ms
162.159.195.28:3476,0.00%,247 ms
162.159.195.187:894,0.00%,247 ms
188.114.98.183:8854,0.00%,247 ms
162.159.195.35:4198,0.00%,247 ms
162.159.192.157:891,0.00%,247 ms
188.114.99.102:8742,0.00%,248 ms
188.114.96.240:859,0.00%,248 ms
188.114.99.241:942,0.00%,248 ms
188.114.98.218:500,0.00%,248 ms
162.159.195.174:7156,0.00%,248 ms
188.114.97.74:4233,0.00%,249 ms
162.159.192.58:988,0.00%,249 ms
162.159.195.187:3138,0.00%,249 ms
188.114.96.55:4177,0.00%,249 ms
188.114.96.200:942,0.00%,250 ms
188.114.98.207:7103,0.00%,250 ms
188.114.96.122:7281,0.00%,250 ms
188.114.99.86:3138,0.00%,250 ms
188.114.98.61:5279,0.00%,251 ms
162.159.195.173:934,0.00%,251 ms
188.114.98.81:7156,0.00%,251 ms
162.159.195.159:7559,0.00%,251 ms
162.159.192.151:500,0.00%,251 ms
188.114.97.106:1018,0.00%,252 ms
162.159.195.218:4177,0.00%,252 ms
162.159.195.141:943,0.00%,252 ms
188.114.99.216:854,0.00%,252 ms
162.159.192.151:3138,0.00%,252 ms
188.114.98.60:5279,0.00%,252 ms
162.159.192.113:1010,0.00%,252 ms
188.114.97.222:939,0.00%,252 ms
188.114.98.198:968,0.00%,252 ms
188.114.98.61:4233,0.00%,253 ms
188.114.99.178:2506,0.00%,253 ms
188.114.97.82:3476,0.00%,253 ms
188.114.96.17:1018,0.00%,253 ms
188.114.99.68:878,0.00%,253 ms
188.114.98.251:987,0.00%,253 ms
188.114.99.243:1018,0.00%,253 ms
188.114.96.170:908,0.00%,254 ms
188.114.98.72:1002,0.00%,254 ms
188.114.99.99:8742,0.00%,254 ms
188.114.97.137:1070,0.00%,255 ms
188.114.98.72:878,0.00%,255 ms
188.114.98.161:8886,0.00%,255 ms
162.159.195.147:1010,0.00%,255 ms
188.114.96.75:934,0.00%,255 ms
162.159.192.83:988,0.00%,255 ms
188.114.98.149:903,0.00%,256 ms
188.114.99.186:987,0.00%,256 ms
188.114.98.139:8742,0.00%,256 ms
162.159.195.140:943,0.00%,256 ms
188.114.97.168:7152,0.00%,256 ms
188.114.99.61:7103,0.00%,256 ms
188.114.99.194:987,0.00%,256 ms
162.159.192.179:1002,0.00%,256 ms
188.114.98.24:968,0.00%,256 ms
188.114.98.221:894,0.00%,256 ms
188.114.97.131:1070,0.00%,256 ms
188.114.98.130:5956,0.00%,256 ms
162.159.195.0:7156,0.00%,256 ms
162.159.195.80:968,0.00%,256 ms
162.159.195.146:1010,0.00%,256 ms
188.114.98.22:955,0.00%,256 ms
188.114.99.140:942,0.00%,256 ms
188.114.99.65:7103,0.00%,256 ms
188.114.96.114:859,0.00%,256 ms
188.114.97.128:1070,0.00%,256 ms
188.114.97.249:987,0.00%,256 ms
188.114.99.205:3138,0.00%,256 ms
188.114.99.141:942,0.00%,256 ms
188.114.99.65:878,0.00%,256 ms
162.159.192.191:4233,0.00%,257 ms
188.114.99.206:854,0.00%,257 ms
188.114.99.46:943,0.00%,257 ms
162.159.192.191:942,0.00%,257 ms
188.114.99.219:854,0.00%,257 ms
162.159.192.66:988,0.00%,257 ms
188.114.98.255:7156,0.00%,257 ms
162.159.195.221:878,0.00%,257 ms
162.159.195.6:8319,0.00%,257 ms
162.159.195.197:890,0.00%,257 ms
188.114.97.42:8319,0.00%,257 ms
188.114.96.17:1002,0.00%,257 ms
162.159.195.230:1843,0.00%,257 ms
188.114.99.157:1010,0.00%,257 ms
188.114.99.181:7103,0.00%,257 ms
188.114.98.186:500,0.00%,257 ms
162.159.192.126:5279,0.00%,257 ms
188.114.99.46:942,0.00%,258 ms
188.114.99.75:3138,0.00%,258 ms
162.159.192.100:4198,0.00%,258 ms
162.159.195.223:878,0.00%,258 ms
162.159.192.137:5279,0.00%,258 ms
188.114.98.247:4233,0.00%,258 ms
162.159.195.119:8886,0.00%,258 ms
162.159.195.11:8319,0.00%,258 ms
162.159.192.111:1010,0.00%,258 ms
188.114.96.22:946,0.00%,258 ms
188.114.97.169:3854,0.00%,258 ms
188.114.98.157:4233,0.00%,259 ms
188.114.98.156:903,0.00%,259 ms
188.114.96.161:500,0.00%,259 ms
188.114.96.236:945,0.00%,259 ms
188.114.99.205:2371,0.00%,259 ms
162.159.192.219:934,0.00%,259 ms
188.114.98.97:8886,0.00%,259 ms
188.114.96.110:5279,0.00%,259 ms
162.159.195.98:3476,0.00%,259 ms
188.114.96.80:7156,0.00%,259 ms
188.114.98.162:8886,0.00%,259 ms
188.114.97.214:1387,0.00%,259 ms
188.114.97.15:987,0.00%,259 ms
162.159.192.59:988,0.00%,259 ms
188.114.98.253:7156,0.00%,259 ms
188.114.99.156:4177,0.00%,259 ms
188.114.98.224:943,0.00%,259 ms
188.114.99.27:3854,0.00%,259 ms
162.159.195.6:928,0.00%,259 ms
188.114.97.244:2408,0.00%,260 ms
188.114.98.121:5956,0.00%,260 ms
188.114.99.34:1387,0.00%,260 ms
188.114.99.121:500,0.00%,260 ms
162.159.192.190:942,0.00%,260 ms
188.114.98.115:7152,0.00%,260 ms
188.114.98.34:878,0.00%,260 ms
162.159.195.106:4198,0.00%,260 ms
188.114.97.116:880,0.00%,260 ms
162.159.195.89:968,0.00%,260 ms
162.159.192.78:988,0.00%,260 ms
162.159.192.125:880,0.00%,261 ms
188.114.98.210:7103,0.00%,261 ms
188.114.96.161:4198,0.00%,261 ms
188.114.96.250:3854,0.00%,261 ms
162.159.192.69:988,0.00%,261 ms
162.159.195.9:928,0.00%,261 ms
188.114.96.198:942,0.00%,261 ms
162.159.195.7:928,0.00%,262 ms
188.114.97.180:908,0.00%,262 ms
188.114.97.186:8319,0.00%,262 ms
162.159.192.211:1070,0.00%,262 ms
188.114.96.31:864,0.00%,262 ms
162.159.195.16:928,0.00%,262 ms
188.114.98.206:859,0.00%,262 ms
188.114.98.239:4233,0.00%,262 ms
188.114.97.26:2371,0.00%,262 ms
162.159.195.89:987,0.00%,263 ms
162.159.195.150:1010,0.00%,263 ms
162.159.192.143:880,0.00%,263 ms
162.159.192.73:4198,0.00%,263 ms
162.159.195.247:4198,0.00%,263 ms
188.114.97.191:8319,0.00%,264 ms
188.114.99.214:864,0.00%,264 ms
188.114.98.185:968,0.00%,264 ms
188.114.97.152:1070,0.00%,264 ms
188.114.99.100:7103,0.00%,264 ms
162.159.192.233:4500,0.00%,265 ms
188.114.97.59:943,0.00%,265 ms
188.114.99.221:854,0.00%,265 ms
188.114.97.163:7152,0.00%,265 ms
188.114.99.78:3138,0.00%,265 ms
188.114.96.168:7281,0.00%,265 ms
188.114.96.99:5279,0.00%,265 ms
162.159.192.143:5279,0.00%,266 ms
162.159.192.252:1014,0.00%,266 ms
188.114.98.241:4233,0.00%,266 ms
188.114.97.207:903,0.00%,266 ms
188.114.99.213:854,0.00%,266 ms
188.114.98.65:5279,0.00%,266 ms
188.114.97.75:908,0.00%,266 ms
162.159.195.178:934,0.00%,267 ms
188.114.97.192:2408,0.00%,267 ms
162.159.195.96:1074,0.00%,267 ms
188.114.97.78:908,0.00%,267 ms
162.159.195.164:7156,0.00%,267 ms
162.159.195.180:934,0.00%,268 ms
188.114.96.181:7281,0.00%,268 ms
188.114.98.185:500,0.00%,268 ms
188.114.96.162:4198,0.00%,268 ms
188.114.97.176:908,0.00%,268 ms
188.114.97.119:880,0.00%,268 ms
162.159.195.45:4198,0.00%,268 ms
188.114.97.49:4177,0.00%,268 ms
188.114.99.32:3854,0.00%,268 ms
188.114.97.75:3476,0.00%,268 ms
188.114.99.88:3138,0.00%,269 ms
188.114.99.115:500,0.00%,269 ms
188.114.96.167:4198,0.00%,269 ms
188.114.97.141:928,0.00%,269 ms
188.114.97.183:908,0.00%,269 ms
188.114.99.90:3854,0.00%,269 ms
188.114.99.102:7103,0.00%,269 ms
188.114.96.194:942,0.00%,269 ms
188.114.99.220:854,0.00%,269 ms
188.114.99.77:5956,0.00%,269 ms
188.114.97.61:4177,0.00%,270 ms
162.159.195.30:3476,0.00%,270 ms
188.114.98.45:7152,0.00%,270 ms
162.159.195.37:854,0.00%,270 ms
188.114.99.245:878,0.00%,270 ms
188.114.96.51:4198,0.00%,270 ms
188.114.98.201:859,0.00%,270 ms
162.159.195.194:890,0.00%,270 ms
188.114.98.197:500,0.00%,270 ms
188.114.98.111:7152,0.00%,271 ms
188.114.98.82:7156,0.00%,271 ms
162.159.195.30:7559,0.00%,271 ms
188.114.98.64:5279,0.00%,271 ms
188.114.97.51:943,0.00%,271 ms
188.114.97.175:908,0.00%,271 ms
162.159.195.161:4500,0.00%,271 ms
162.159.195.192:894,0.00%,271 ms
188.114.99.82:3138,0.00%,271 ms
188.114.99.236:2408,0.00%,271 ms
188.114.97.113:880,0.00%,272 ms
188.114.97.172:7152,0.00%,272 ms
188.114.97.166:3854,0.00%,272 ms
188.114.97.188:2408,0.00%,272 ms
188.114.96.183:7281,0.00%,272 ms
188.114.98.250:987,0.00%,272 ms
162.159.192.130:5279,0.00%,272 ms
188.114.98.202:7103,0.00%,272 ms
188.114.98.209:7103,0.00%,272 ms
162.159.195.49:859,0.00%,272 ms
162.159.192.186:1002,0.00%,273 ms
188.114.98.199:500,0.00%,273 ms
188.114.98.63:4233,0.00%,273 ms
188.114.99.226:854,0.00%,273 ms
188.114.99.116:500,0.00%,273 ms
162.159.195.196:878,0.00%,273 ms
188.114.99.215:854,0.00%,273 ms
188.114.99.77:3138,0.00%,273 ms
162.159.195.155:4500,0.00%,273 ms
188.114.96.192:894,0.00%,273 ms
188.114.98.213:500,0.00%,273 ms
162.159.195.204:878,0.00%,273 ms
188.114.98.55:5279,0.00%,273 ms
162.159.192.149:3138,0.00%,274 ms
162.159.195.186:3138,0.00%,274 ms
188.114.97.98:1074,0.00%,274 ms
162.159.192.130:880,0.00%,274 ms
188.114.96.30:864,0.00%,274 ms
162.159.195.189:894,0.00%,274 ms
188.114.98.189:500,0.00%,274 ms
162.159.195.10:8319,0.00%,274 ms
188.114.98.102:8886,0.00%,274 ms
188.114.98.7:4198,0.00%,274 ms
188.114.98.17:4198,0.00%,275 ms
188.114.99.31:3854,0.00%,275 ms
188.114.98.76:878,0.00%,275 ms
188.114.96.146:3854,0.00%,275 ms
162.159.195.199:878,0.00%,275 ms
188.114.99.188:7103,0.00%,275 ms
162.159.195.227:1843,0.00%,275 ms
188.114.99.232:2408,0.00%,275 ms
188.114.96.135:3854,0.00%,275 ms
188.114.96.154:4198,0.00%,275 ms
162.159.195.127:946,0.00%,275 ms
188.114.97.95:891,0.00%,275 ms
188.114.97.18:1002,0.00%,275 ms
188.114.99.96:945,0.00%,275 ms
162.159.195.172:7156,0.00%,275 ms
188.114.99.245:1018,0.00%,276 ms
162.159.192.104:7559,0.00%,276 ms
162.159.192.231:7156,0.00%,276 ms
162.159.195.13:8319,0.00%,276 ms
188.114.98.196:500,0.00%,276 ms
188.114.96.10:1018,0.00%,276 ms
188.114.99.59:878,0.00%,276 ms
188.114.96.112:5279,0.00%,276 ms
188.114.99.157:4177,0.00%,276 ms
162.159.195.177:934,0.00%,276 ms
188.114.96.146:500,0.00%,276 ms
188.114.98.89:7156,0.00%,276 ms
188.114.96.40:3138,0.00%,276 ms
188.114.99.197:3138,0.00%,276 ms
162.159.195.115:8886,0.00%,276 ms
188.114.99.42:942,0.00%,276 ms
162.159.195.25:3476,0.00%,276 ms
188.114.97.114:880,0.00%,276 ms
188.114.96.79:7156,0.00%,276 ms
188.114.97.235:891,0.00%,277 ms
188.114.99.253:1018,0.00%,277 ms
188.114.97.159:3854,0.00%,277 ms
188.114.98.250:4233,0.00%,277 ms
188.114.97.38:2408,0.00%,277 ms
188.114.97.26:1002,0.00%,277 ms
188.114.97.44:1002,0.00%,277 ms
162.159.195.31:7559,0.00%,277 ms
188.114.96.18:1002,0.00%,277 ms
162.159.195.5:7156,0.00%,277 ms
188.114.97.221:939,0.00%,277 ms
188.114.96.131:3854,0.00%,277 ms
188.114.98.159:8886,0.00%,277 ms
188.114.99.130:8742,0.00%,277 ms
162.159.192.67:4198,0.00%,277 ms
188.114.96.234:890,0.00%,277 ms
188.114.97.171:3854,0.00%,277 ms
188.114.99.98:7103,0.00%,277 ms
162.159.192.94:4198,0.00%,277 ms
162.159.195.10:928,0.00%,277 ms
162.159.195.236:878,0.00%,277 ms
188.114.97.43:1002,0.00%,278 ms
162.159.195.110:903,0.00%,278 ms
162.159.195.229:1843,0.00%,278 ms
162.159.195.22:7559,0.00%,278 ms
162.159.192.115:1010,0.00%,278 ms
162.159.192.164:864,0.00%,278 ms
188.114.99.5:7156,0.00%,278 ms
188.114.96.144:3854,0.00%,278 ms
188.114.96.102:859,0.00%,278 ms
188.114.97.160:7152,0.00%,278 ms
162.159.195.115:946,0.00%,278 ms
188.114.97.111:880,0.00%,278 ms
188.114.99.208:854,0.00%,278 ms
162.159.195.135:943,0.00%,278 ms
188.114.97.160:3854,0.00%,278 ms
162.159.195.201:878,0.00%,278 ms
162.159.195.248:8319,0.00%,278 ms
188.114.97.240:2408,0.00%,278 ms
188.114.97.165:3854,0.00%,278 ms
188.114.96.149:3854,0.00%,278 ms
188.114.96.197:943,0.00%,278 ms
188.114.96.138:1070,0.00%,278 ms
188.114.99.184:987,0.00%,278 ms
188.114.99.110:8742,0.00%,279 ms
188.114.96.203:943,0.00%,279 ms
162.159.192.118:1010,0.00%,279 ms
188.114.96.158:4198,0.00%,279 ms
162.159.195.212:4177,0.00%,279 ms
188.114.99.42:943,0.00%,279 ms
188.114.98.108:8886,0.00%,279 ms
188.114.99.173:2506,0.00%,279 ms
188.114.98.112:988,0.00%,279 ms
188.114.98.137:891,0.00%,279 ms
188.114.96.82:7156,0.00%,279 ms
162.159.195.97:3476,0.00%,279 ms
188.114.96.204:943,0.00%,279 ms
188.114.99.48:878,0.00%,279 ms
188.114.96.15:1018,0.00%,279 ms
188.114.99.113:7152,0.00%,279 ms
188.114.97.246:2371,0.00%,279 ms
162.159.192.192:4233,0.00%,279 ms
188.114.96.85:928,0.00%,279 ms
188.114.98.240:987,0.00%,279 ms
162.159.192.193:942,0.00%,279 ms
188.114.96.6:1002,0.00%,279 ms
162.159.195.207:4177,0.00%,279 ms
162.159.192.55:4198,0.00%,279 ms
188.114.99.38:943,0.00%,279 ms
188.114.96.109:5279,0.00%,279 ms
188.114.98.14:4198,0.00%,279 ms
162.159.192.189:942,0.00%,279 ms
188.114.99.73:7103,0.00%,279 ms
162.159.195.131:946,0.00%,280 ms
162.159.192.92:988,0.00%,280 ms
162.159.195.153:4500,0.00%,280 ms
162.159.195.103:903,0.00%,280 ms
162.159.192.220:934,0.00%,280 ms
188.114.96.133:1070,0.00%,280 ms
162.159.195.145:1010,0.00%,280 ms
162.159.192.134:880,0.00%,280 ms
188.114.96.217:3476,0.00%,280 ms
162.159.192.55:988,0.00%,280 ms
162.159.192.187:4233,0.00%,280 ms
162.159.195.107:4198,0.00%,280 ms
188.114.98.104:8886,0.00%,280 ms
188.114.98.13:4198,0.00%,280 ms
162.159.195.72:946,0.00%,280 ms
162.159.192.244:2408,0.00%,280 ms
162.159.195.66:1018,0.00%,280 ms
188.114.98.104:1002,0.00%,280 ms
188.114.97.134:1070,0.00%,280 ms
188.114.98.242:987,0.00%,280 ms
162.159.192.194:4233,0.00%,280 ms
188.114.98.243:4233,0.00%,280 ms
188.114.99.98:8742,0.00%,280 ms
188.114.96.197:942,0.00%,280 ms
188.114.99.40:942,0.00%,280 ms
188.114.99.36:1387,0.00%,280 ms
188.114.99.49:864,0.00%,281 ms
188.114.97.213:1387,0.00%,281 ms
162.159.192.201:903,0.00%,281 ms
188.114.98.125:987,0.00%,281 ms
188.114.97.243:2371,0.00%,281 ms
188.114.97.129:2408,0.00%,281 ms
188.114.99.196:2371,0.00%,281 ms
162.159.195.101:4198,0.00%,281 ms
162.159.192.101:7559,0.00%,281 ms
188.114.99.112:7152,0.00%,281 ms
188.114.97.129:1070,0.00%,281 ms
188.114.99.208:1701,0.00%,281 ms
188.114.96.117:943,0.00%,281 ms
188.114.96.34:943,0.00%,281 ms
162.159.192.202:1018,0.00%,281 ms
188.114.97.50:943,0.00%,281 ms
188.114.99.212:1701,0.00%,281 ms
188.114.99.146:864,0.00%,282 ms
162.159.195.243:1018,0.00%,282 ms
162.159.195.77:946,0.00%,282 ms
188.114.99.149:955,0.00%,282 ms
162.159.192.75:988,0.00%,282 ms
188.114.98.135:891,0.00%,282 ms
162.159.195.1:7103,0.00%,282 ms
188.114.97.21:1002,0.00%,282 ms
188.114.96.123:943,0.00%,282 ms
188.114.98.129:5956,0.00%,282 ms
188.114.97.226:891,0.00%,282 ms
188.114.99.47:942,0.00%,282 ms
188.114.99.36:3854,0.00%,282 ms
188.114.99.2:7152,0.00%,282 ms
162.159.192.96:988,0.00%,282 ms
